country;subnational1;threshold;area_ha;extent_2000_ha;extent_2010_ha;gain_2000-2012_ha;tc_loss_ha_2001;tc_loss_ha_2002;tc_loss_ha_2003;tc_loss_ha_2004;tc_loss_ha_2005;tc_loss_ha_2006;tc_loss_ha_2007;tc_loss_ha_2008;tc_loss_ha_2009;tc_loss_ha_2010;tc_loss_ha_2011;tc_loss_ha_2012;tc_loss_ha_2013;tc_loss_ha_2014;tc_loss_ha_2015;tc_loss_ha_2016;tc_loss_ha_2017;tc_loss_ha_2018;tc_loss_ha_2019;tc_loss_ha_2020;tc_loss_ha_2021;tc_loss_ha_2022;tc_loss_ha_2023;tc_loss_ha_2024
Indonesia;Jawa Timur;15;4799588;2211381;2168294;37376;4237;4065;2918;6509;2835;5774;4444;4011;4294;1653;5942;8460;3030;7177;3086;3333;5129;4645;5459;5175;3762;3112;7005;4952
Indonesia;Jawa Timur;20;4799588;2147306;2139113;37376;4233;4060;2914;6493;2830;5763;4438;4006;4287;1649;5908;8401;2928;7057;3038;3295;5020;4551;5365;5116;3694;3059;6842;4853
Indonesia;Jawa Timur;25;4799588;2033555;2067142;37376;4231;4055;2913;6478;2827;5753;4435;4000;4281;1649;5880;8357;2842;6922;2974;3246;4867;4429;5253;5014;3612;2988;6577;4690
Indonesia;Jawa Timur;30;4799588;1917062;1964762;37376;4227;4052;2910;6465;2820;5746;4430;3993;4277;1648;5849;8314;2754;6771;2901;3188;4713;4290;5112;4919;3520;2918;6319;4505
Indonesia;Jawa Timur;50;4799588;1564008;1505619;37376;4184;3989;2882;6274;2752;5613;4356;3916;4199;1626;5508;7926;2206;5940;2512;2869;3961;3647;4399;4353;3077;2565;5153;3634
Indonesia;Jawa Timur;75;4799588;1050616;910196;37376;3975;3672;2754;5504;2490;5012;3958;3493;3783;1495;4403;6951;1404;4235;1646;2156;2581;2475;3048;3356;2159;1799;3313;2216
Indonesia;Kalimantan Barat;0;14687396;14687396;14687396;501434;78629;97643;56185;114450;104977;131612;133158;204251;289834;153152;264103;315895;206251;304715;277785;300867;192852;171670;153225;130020;118359;148312;225557;188506
Indonesia;Kalimantan Barat;10;14687396;13872577;13392891;501434;78220;97194;56060;114158;104755;131240;132502;203357;289263;152845;263282;313871;201407;295058;270526;290520;184547;162825;145803;124078;111012;140280;211801;177991
Indonesia;Kalimantan Barat;15;14687396;13792503;13282419;501434;78154;97112;56034;114096;104694;131148;132374;203168;289064;152751;263029;313477;200922;294103;269794;289388;183666;161803;145013;123472;110428;139426;210230;176733
Indonesia;Kalimantan Barat;20;14687396;13745698;13229536;501434;78046;96988;56005;114023;104647;131047;132246;202971;288901;152667;262875;313202;200463;293256;269171;288472;182938;161062;144454;123001;109993;138846;209174;175879
Indonesia;Kalimantan Barat;25;14687396;13707126;13153856;501434;77998;96928;55988;113976;104611;130994;132170;202843;288766;152603;262703;312920;200129;292651;268722;287765;182405;160448;143985;122640;109668;138395;208324;175194
Indonesia;Kalimantan Barat;30;14687396;13640399;13087716;501434;77940;96866;55967;113923;104566;130920;132081;202683;288604;152522;262481;312530;199514;291474;267806;286374;181330;159317;143107;121935;109033;137501;206711;173923
Indonesia;Kalimantan Barat;50;14687396;13273273;12648398;501434;77313;96087;55709;113172;103938;129901;130951;200488;285958;151246;259987;309004;195283;283298;261552;277232;174614;152164;137375;117592;105302;132339;197442;166701
Indonesia;Kalimantan Barat;75;14687396;12015168;11656459;501434;73510;90751;53279;107144;98753;122677;123794;186370;269102;142208;245556;290171;174114;245180;229884;233931;144645;123531;114593;98497;88261;111366;161977;138009
Indonesia;Kalimantan Selatan;0;3737249;3737249;3737249;262789;19816;24870;18595;42634;25567;54520;29815;18857;61073;26534;49154;69510;41678;76644;81249;72924;43457;44821;53233;24843;30509;24442;69565;39120
Indonesia;Kalimantan Selatan;10;3737249;2995023;2986490;262789;19373;24555;18488;42204;25471;54269;29691;18778;60745;26332;48609;67626;36873;68509;75068;67198;38512;38856;45934;21728;23048;18818;54096;29420
Indonesia;Kalimantan Selatan;15;3737249;2932679;2908563;262789;19280;24498;18463;42124;25454;54209;29667;18757;60660;26302;48499;67400;36591;67876;74572;66749;38177;38429;45422;21492;22600;18494;53192;28873
Indonesia;Kalimantan Selatan;20;3737249;2896149;2877586;262789;19155;24425;18436;41998;25425;54123;29626;18730;60576;26251;48412;67148;36322;67301;74120;66360;37898;38075;45017;21297;22206;18169;52487;28472
Indonesia;Kalimantan Selatan;25;3737249;2860986;2828731;262789;19034;24370;18419;41926;25410;54064;29605;18710;60523;26228;48347;67011;36171;66952;73851;66125;37744;37887;44749;21192;21999;18008;52043;28229
Indonesia;Kalimantan Selatan;30;3737249;2818008;2781604;262789;18967;24324;18403;41871;25392;54016;29584;18696;60466;26199;48257;66809;35960;66373;73379;65747;37465;37578;44331;21000;21668;17769;51434;27839
Indonesia;Kalimantan Selatan;50;3737249;2585069;2517599;262789;18303;23820;18174;40988;25120;53112;29202;18346;59304;25696;47217;64445;34162;62242;69937;63129;35932;35835;41761;19948;20146;16640;48020;25770
Indonesia;Kalimantan Selatan;75;3737249;2128450;2076741;262789;16405;21649;16688;36786;23357;48256;26848;15965;52709;22751;42083;54176;26027;46270;55633;51408;30570;29866;33960;16489;15518;12271;37267;18873
Indonesia;Kalimantan Tengah;0;15371159;15371159;15371159;619162;64894;104290;129721;172638;160211;224571;292704;205873;195238;142714;140128;221998;109638;207354;224479;508259;110685;117846;131471;97003;59515;80768;166993;137907
Indonesia;Kalimantan Tengah;10;15371159;14449735;14161914;619162;64402;103456;129373;171014;159186;223068;292206;205295;194793;142522;139686;219766;104544;199649;216437;496740;104615;112110;124180;91751;54385;74464;150081;122152
Indonesia;Kalimantan Tengah;15;15371159;14371264;14051483;619162;64316;103296;129304;170684;158998;222741;292074;205100;194671;142466;139585;219534;104186;198984;215737;495644;104102;111623;123578;91369;54006;73934;148504;121058
Indonesia;Kalimantan Tengah;20;15371159;14320828;14003780;619162;64208;103114;129228;170314;158834;222381;291926;204929;194562;142419;139496;219254;103804;198331;215027;494680;103665;111155;123032;91050;53704;73518;147307;120221
Indonesia;Kalimantan Tengah;25;15371159;14278849;13929247;619162;64153;102997;129177;170075;158674;222135;291823;204790;194475;142386;139424;219111;103613;197927;214562;494029;103378;110849;122687;90826;53493;73217;146380;119597
Indonesia;Kalimantan Tengah;30;15371159;14220881;13853651;619162;64076;102874;129122;169837;158552;221893;291717;204626;194376;142342;139335;218881;103285;197213;213840;492975;102894;110369;122143;90490;53159;72734;144866;118639
Indonesia;Kalimantan Tengah;50;15371159;13834325;13361493;619162;63402;101594;128443;167217;156863;218707;290127;202526;192709;141733;138180;216789;101033;191128;207503;483231;99409;106266;117578;88162;51271;69691;134097;112556
